Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1070.0,1933.081,0,122.25641265640635,97.687,104.40141078663973,813.902,0.0,46.7384025,115.95614499999999,2.480960811615245,0.4,122,134.4209333796877,0.4,160,134.4209333796877,160,160,160,92.42093337968774,63.806,64.4,0.0
1071.0,1895.233,158.279,196.12792791617977,219.796,104.40141078663973,813.902,19.287359893500224,46.7384025,115.95614499999999,2.480960811615245,0.4,122,130.8883946852295,0.4,160,130.8883946852295,160,160,158.8883946852295,88.8883946852295,63.806,64.4,3.903572396352438
1072.0,2206.109,492.23,181.35362375024258,195.374,104.40141078663973,813.65,60.0,46.126402500000005,115.92014499999999,2.5130974608305943,0.4,122,159.90348634874823,0.4,160,159.90348634874823,160,160,160,117.90348634874823,63.806,66.2,11.990517969272814
1073.0,2207.143,241.485,240.4508404139913,293.061,104.40141078663973,813.827,29.429245270458967,46.554802499999994,115.94534499999999,2.490513089385354,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,64.94,7.7033332074481455
1074.0,1892.821,0,314.32235567376466,415.17,104.40141078663973,813.902,0.0,46.7384025,115.95614499999999,2.480960811615245,0.4,122,130.663246803782,0.4,160,130.663246803782,160,160,158.663246803782,88.66324680378199,63.806,64.4,0.0
1075.0,1954.773,302.403,240.4508404139913,293.061,104.40141078663973,814.155,36.83838376877012,47.350402499999994,115.992145,2.4496548894172547,0.4,122,136.44548850859013,0.4,160,136.44548850859013,160,160,160,94.44548850859012,63.806,62.6,10.969376137796951
1076.0,2192.167,492.619,255.22514457992847,317.483,104.40141078663973,814.294,60.0,48.20005,116.0119625,2.4068846920283278,0.4,122,158.60229397301526,0.4,160,158.60229397301526,160,160,160,116.60229397301528,63.806,60.8,17.87103474059855
1077.0,2207.143,358.846,343.87096400563905,464.013,104.40141078663973,813.27,43.7617606020859,50.55205,115.86605625,2.2920149875227613,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.806,57.2,14.619808441297584
1078.0,1804.175,0,402.9681806693877,561.7,104.40141078663973,812.007,0.0,51.70405000000001,115.68605625000001,2.237466044729571,0.4,122,122.38963647085717,0.4,160,122.38963647085717,160,160,150.38963647085717,80.38963647085717,63.806,55.4,0.0
1079.0,1974.79,484.938,314.32235567376466,415.17,104.40141078663973,812.386,59.2031092161063,51.35845000000001,115.74005624999998,2.253573778998392,0.4,122,138.3137166830573,0.4,160,138.3137166830573,160,160,160,96.31371668305731,63.806,55.94,23.666597038218544
